account_length,customer_service_calls,number_vm_messages,total_day_calls,total_day_charge,total_day_min,total_eve_calls,total_eve_charge,total_eve_min,total_intl_calls,total_intl_charge,total_intl_minutes,total_night_calls,total_night_charge,total_night_minutes,voice_mail_plan,intertiol_plan,location_code,Churn,total_mins,total_calls,total_charge,mins_per_call,has_plan
121.0,1.0,0.0,142.0,30.12,177.2,88.0,10.5,123.5,6.0,2.27,8.4,51.0,9.59,213.2,0,0,2,0,522.3,287.0,52.48000000000001,1.8198606271777003,0
94.0,3.0,0.0,105.0,46.1,271.2,105.0,17.22,202.6,3.0,3.11,11.5,51.0,9.97,221.6,0,0,2,1,706.9,264.0,76.4,2.6776515151515152,0
113.0,0.0,30.0,102.0,31.25,183.8,123.0,15.59,183.4,7.0,3.13,11.6,52.0,10.58,235.0,1,0,1,0,613.8000000000001,284.0,60.550000000000004,2.161267605633803,1
101.0,1.0,0.0,130.0,26.25,154.4,101.0,18.46,217.2,4.0,3.75,13.9,52.0,8.34,185.4,0,0,1,0,570.9,287.0,56.8,1.989198606271777,0
32.0,0.0,0.0,87.0,39.25,230.9,90.0,15.93,187.4,2.0,1.7,6.3,53.0,6.93,154.0,0,0,2,0,578.5999999999999,232.0,63.81,2.493965517241379,0
149.0,1.0,0.0,117.0,11.75,69.1,100.0,11.59,136.3,3.0,1.7,6.3,53.0,8.18,181.7,0,0,0,0,393.40000000000003,273.0,33.22,1.4410256410256412,0
105.0,1.0,0.0,48.0,17.24,101.4,119.0,13.52,159.1,2.0,3.29,12.2,53.0,11.66,259.2,0,0,1,0,531.9000000000001,222.0,45.71,2.3959459459459462,0
54.0,1.0,0.0,102.0,35.79,210.5,83.0,17.38,204.5,5.0,2.3,8.5,53.0,5.75,127.8,0,0,2,0,551.3,243.0,61.22,2.2687242798353906,0
149.0,3.0,28.0,92.0,30.72,180.7,64.0,15.96,187.8,3.0,3.4,12.6,53.0,11.95,265.5,1,0,0,0,646.6,212.0,62.029999999999994,3.0500000000000003,1
52.0,0.0,0.0,118.0,42.74,251.4,80.0,16.71,196.6,2.0,2.97,11.0,53.0,8.64,192.0,0,1,2,1,651.0,253.0,71.06,2.5731225296442686,1
174.0,1.0,0.0,97.0,32.66,192.1,94.0,14.44,169.9,4.0,3.08,11.4,54.0,7.5,166.6,0,0,0,0,540.0,249.0,57.67999999999999,2.1686746987951806,0
160.0,0.0,0.0,116.0,14.06,82.7,95.0,16.54,194.6,9.0,2.94,10.9,54.0,7.15,159.0,0,0,0,0,447.2,274.0,40.69,1.6321167883211678,0
122.0,4.0,0.0,133.0,25.71,157.1,121.0,16.72,191.9,5.0,2.3,8.5,54.0,8.87,193.2,0,0,2,1,550.7,313.0,53.599999999999994,1.7594249201277956,0
96.0,1.0,29.0,91.0,25.5,150.0,75.0,13.55,159.4,3.0,2.3,8.5,55.0,10.26,228.1,1,0,0,0,546.0,224.0,51.60999999999999,2.4375,1
79.0,1.0,0.0,124.0,7.12,41.9,95.0,17.94,211.0,5.0,3.08,11.4,55.0,10.71,237.9,0,0,1,0,502.2,279.0,38.85,1.8,0
24.0,1.0,25.0,110.0,28.03,164.9,105.0,17.79,209.3,9.0,1.81,6.7,55.0,10.4,231.2,1,0,2,0,612.1000000000001,279.0,58.03,2.193906810035843,1
55.0,0.0,0.0,147.0,29.85,175.6,118.0,13.75,161.8,4.0,2.51,9.3,55.0,13.03,289.5,0,0,1,0,636.1999999999999,324.0,59.14,1.9635802469135801,0
63.0,1.0,33.0,111.0,31.31,184.2,89.0,26.57,312.6,4.0,3.29,12.2,55.0,11.88,264.0,1,0,1,0,773.0,259.0,73.05,2.9845559845559846,1
105.0,2.0,0.0,93.0,28.24,166.1,106.0,14.95,175.9,3.0,4.37,16.2,55.0,10.96,243.5,0,0,0,0,601.7,257.0,58.519999999999996,2.3412451361867705,0
117.0,5.0,0.0,123.0,18.13,115.4,101.0,22.19,236.3,2.0,3.67,13.6,55.0,10.22,225.0,0,0,1,1,590.3000000000001,281.0,54.21,2.1007117437722425,0
71.0,3.0,0.0,108.0,33.64,197.9,109.0,15.43,181.5,5.0,1.81,6.7,56.0,12.66,281.4,0,0,1,0,667.5,278.0,63.540000000000006,2.4010791366906474,0
117.0,5.0,0.0,126.0,20.13,118.4,97.0,21.19,249.3,3.0,3.67,13.6,56.0,10.22,227.0,0,0,1,1,608.3000000000001,282.0,55.21,2.1570921985815605,0
56.0,1.0,0.0,80.0,35.77,210.4,96.0,15.01,176.6,4.0,4.19,15.5,56.0,6.74,149.7,0,0,0,0,552.2,236.0,61.71,2.3398305084745763,0
105.0,0.0,0.0,101.0,48.05,271.9,105.0,20.23,240.2,6.0,2.38,8.8,56.0,8.05,186.8,0,0,0,1,707.6999999999998,268.0,78.71,2.640671641791044,0
110.0,3.0,0.0,90.0,17.02,100.1,93.0,19.83,233.3,8.0,3.0,11.1,57.0,9.2,204.4,0,0,0,0,548.9,248.0,49.05,2.2133064516129033,0
108.0,0.0,0.0,104.0,33.88,199.3,92.0,19.06,224.2,2.0,4.1,15.2,57.0,6.3,140.1,0,0,1,0,578.8000000000001,255.0,63.339999999999996,2.2698039215686276,0
74.0,2.0,35.0,104.0,26.2,154.1,84.0,10.49,123.4,9.0,2.94,10.9,57.0,9.09,202.1,1,0,1,0,490.5,254.0,48.72,1.9311023622047243,1
95.0,0.0,32.0,123.0,44.57,262.2,82.0,14.04,165.2,5.0,2.86,10.6,57.0,8.74,194.3,1,0,0,0,632.3000000000001,267.0,70.21,2.368164794007491,1
99.0,0.0,0.0,83.0,31.04,182.6,111.0,13.13,154.5,5.0,3.27,12.1,57.0,8.82,196.0,0,0,1,0,545.2,256.0,56.260000000000005,2.1296875,0
122.0,0.0,0.0,132.0,39.25,230.9,99.0,20.67,243.2,2.0,2.97,11.0,57.0,8.21,182.4,0,1,1,1,667.5,290.0,71.1,2.3017241379310347,1
110.0,1.0,0.0,88.0,38.71,227.7,96.0,14.45,170.0,5.0,3.16,11.7,57.0,5.79,128.7,0,0,1,0,538.1,246.0,62.11,2.18739837398374,0
10.0,2.0,0.0,112.0,31.64,186.1,66.0,16.17,190.2,6.0,3.08,11.4,57.0,12.73,282.8,0,0,0,0,670.4999999999999,241.0,63.620000000000005,2.782157676348547,0
94.0,3.0,0.0,107.0,47.76,279.2,141.0,17.47,180.8,1.0,2.4,8.9,57.0,11.59,267.6,0,0,0,1,736.5,306.0,79.22,2.406862745098039,0
90.0,2.0,0.0,77.0,30.46,179.2,99.0,17.91,210.7,6.0,2.48,9.2,58.0,12.46,276.9,0,0,1,0,676.0,240.0,63.31,2.816666666666667,0
86.0,0.0,20.666666666666668,101.0,20.23,119.0,134.0,19.55,230.0,3.0,2.57,9.5,58.0,10.66,236.9,1,0,2,0,595.4,296.0,53.01,2.0114864864864863,1
63.0,0.0,0.0,80.0,35.9,211.2,93.0,20.2,237.7,2.0,3.32,12.3,58.0,11.66,259.2,0,0,1,0,720.3999999999999,233.0,71.07999999999998,3.0918454935622313,0
122.0,1.0,0.0,62.0,5.97,35.1,89.0,15.37,180.8,2.0,3.43,12.7,58.0,11.32,251.6,0,0,1,0,480.2,211.0,36.089999999999996,2.275829383886256,0
63.0,1.0,0.0,112.0,10.69,62.9,111.0,17.25,202.9,8.0,2.4,8.9,58.0,11.66,259.0,0,1,1,0,533.6999999999999,289.0,41.99999999999999,1.8467128027681659,1
177.0,3.0,0.0,91.0,45.24,266.1,79.0,19.14,225.2,8.0,2.4,8.9,58.0,10.11,224.7,0,0,1,1,724.9,236.0,76.89,3.0716101694915254,0
75.0,4.0,0.0,57.0,34.92,194.3,121.0,8.98,93.6,4.0,2.62,9.7,58.0,7.92,170.9,0,1,0,1,468.49999999999994,240.0,54.440000000000005,1.9520833333333332,1
52.0,0.0,0.0,123.0,44.74,238.4,78.0,15.71,196.6,1.0,2.97,11.0,58.0,8.64,200.0,0,1,2,1,646.0,260.0,72.06,2.4846153846153847,1
131.0,2.0,25.0,85.0,32.76,192.7,105.0,19.2,225.9,6.0,2.94,10.9,59.0,11.44,254.2,1,0,1,0,683.6999999999999,255.0,66.33999999999999,2.681176470588235,1
121.0,1.0,0.0,121.0,28.66,168.6,94.0,14.33,168.6,4.0,3.32,12.3,59.0,4.29,95.3,0,0,0,0,444.8,278.0,50.6,1.6,0
122.0,4.0,0.0,134.0,26.71,157.1,122.0,15.72,184.9,5.0,2.3,8.5,59.0,8.87,197.2,0,0,2,1,547.7,320.0,53.599999999999994,1.7115625,0
135.0,0.0,0.0,130.0,26.25,154.4,90.0,17.32,203.8,3.0,3.19,11.8,59.0,7.14,158.7,0,0,2,0,528.7,282.0,53.9,1.8748226950354612,0
113.0,2.0,23.0,101.0,34.85,205.0,60.0,12.92,152.0,5.0,2.75,10.2,59.0,7.14,158.6,1,0,1,0,525.8000000000001,225.0,57.660000000000004,2.3368888888888892,1
102.0,0.0,0.0,87.0,24.55,144.4,128.0,22.65,266.5,7.0,1.92,7.1,59.0,9.79,217.6,0,0,1,0,635.6,281.0,58.910000000000004,2.2619217081850533,0
110.0,2.0,0.0,105.0,41.0,241.2,85.0,14.82,174.3,4.0,2.3,8.5,59.0,11.04,245.3,0,0,1,0,669.3,253.0,69.16,2.645454545454545,0
122.0,0.0,0.0,125.0,41.25,247.9,98.0,20.67,251.2,2.0,2.97,11.0,59.0,8.21,180.4,0,1,1,1,690.5,284.0,73.1,2.431338028169014,1
50.0,2.0,0.0,113.0,16.93,99.6,102.0,27.24,320.7,5.0,3.7,13.7,59.0,7.25,163.2,0,1,1,1,597.2,279.0,55.120000000000005,2.1405017921146956,1
105.0,0.0,0.0,98.0,46.05,270.9,110.0,19.23,226.2,5.0,2.38,8.8,60.0,8.05,178.8,0,0,0,1,684.6999999999999,273.0,75.71,2.508058608058608,0
90.0,1.0,0.0,83.0,32.93,193.7,79.0,13.11,154.2,3.0,3.43,12.7,60.0,13.46,299.0,0,0,1,0,659.6,225.0,62.93,2.9315555555555557,0
73.0,0.0,0.0,80.0,43.3,254.7,79.0,7.67,90.2,8.0,2.86,10.6,60.0,6.9,153.4,0,0,2,0,508.9,227.0,60.73,2.241850220264317,0
123.0,3.0,0.0,115.0,35.17,206.9,86.0,19.07,224.4,2.0,2.24,8.3,60.0,8.88,197.4,0,0,0,0,637.0,263.0,65.36,2.4220532319391634,0
164.0,1.0,25.0,88.0,37.25,219.1,99.0,12.88,151.5,6.0,3.86,14.3,60.0,8.683333333333334,192.9,1,0,0,0,577.8,253.0,62.67333333333333,2.2837944664031617,1
142.0,0.0,25.0,109.0,32.49,191.1,120.0,12.72,149.6,3.0,2.65,9.8,60.0,10.25,227.8,1,1,0,0,578.3,292.0,58.11,1.9804794520547944,1
69.0,3.0,0.0,70.0,38.79,228.2,80.0,22.41,263.7,5.0,2.89,10.7,60.0,6.42,142.6,0,0,1,0,645.2,215.0,70.51,3.0009302325581397,0
134.0,0.0,0.0,95.0,24.09,141.7,101.0,17.48,205.6,6.0,2.38,8.8,60.0,9.83,218.5,0,0,1,0,574.5999999999999,262.0,53.78,2.1931297709923663,0
82.0,4.0,0.0,96.0,34.05,200.3,102.0,17.1,201.2,1.0,1.92,7.1,60.0,9.27,206.1,0,0,0,0,614.7,259.0,62.34,2.3733590733590737,0
126.0,1.0,0.0,70.0,35.97,211.6,80.0,18.44,216.9,1.0,2.11,7.8,60.0,6.91,153.5,0,0,0,0,589.8,211.0,63.42999999999999,2.7952606635071087,0
137.0,3.0,0.0,130.0,19.55,115.0,83.0,11.71,137.8,4.0,1.97,7.3,61.0,10.08,224.0,0,0,1,0,484.1,278.0,43.31,1.7413669064748203,0
151.0,1.0,0.0,88.0,22.87,134.5,112.0,12.16,143.1,1.0,4.16,15.4,61.0,10.08,223.9,0,0,0,0,516.9,262.0,49.269999999999996,1.9729007633587785,0
71.0,1.0,0.0,112.0,35.19,207.0,96.0,14.77,173.8,3.0,3.27,12.1,61.0,8.03,178.4,0,0,1,0,571.3000000000001,272.0,61.26,2.1003676470588237,0
94.0,3.0,0.0,104.0,45.76,269.2,144.0,16.47,193.8,2.0,2.4,8.9,61.0,11.59,257.6,0,0,0,1,729.5,311.0,76.22,2.3456591639871385,0
73.0,1.0,0.0,112.0,33.12,194.8,85.0,14.21,167.2,6.0,2.92,10.8,61.0,4.51,100.3,0,0,0,0,473.1,264.0,54.76,1.7920454545454547,0
162.0,0.0,8.333333333333334,97.0,38.23,224.9,84.0,16.0,188.2,2.0,3.27,12.1,61.0,11.46,254.6,1,0,2,0,679.8000000000001,244.0,68.96,2.7860655737704922,1
84.0,2.0,30.0,65.0,18.11,106.5,108.0,19.18,225.7,3.0,1.54,5.7,61.0,8.49,188.6,1,0,0,0,526.5,237.0,47.32,2.221518987341772,1
151.0,2.0,0.0,128.0,20.21,118.9,65.0,23.66,278.3,10.0,3.56,13.2,61.0,8.77,194.8,0,0,1,0,605.2,264.0,56.2,2.2924242424242425,0
143.0,1.0,0.0,101.0,26.44,155.5,89.0,18.14,213.4,11.0,2.05,7.6,61.0,10.71,237.9,0,0,0,0,614.4,262.0,57.339999999999996,2.3450381679389314,0
95.0,2.0,0.0,120.0,45.73,269.0,120.0,19.86,233.7,4.0,1.97,7.3,61.0,8.07,179.3,0,0,1,1,689.3,305.0,75.63,2.26,0
101.0,1.0,0.0,89.0,20.16,118.6,97.0,16.97,199.6,5.0,3.11,11.5,61.0,8.293333333333335,187.86666666666667,0,0,1,0,517.5666666666666,252.0,48.53333333333333,2.053835978835979,0
125.0,2.0,0.0,108.0,19.21,113.0,107.0,14.38,169.2,5.0,2.48,9.2,61.0,7.05,156.6,0,0,0,1,447.99999999999994,281.0,43.12,1.5943060498220638,0
106.0,2.0,0.0,142.0,20.26,119.2,139.0,19.41,228.4,9.0,2.27,8.4,61.0,8.91,197.9,0,0,1,0,553.9,351.0,50.85,1.578062678062678,0
100.0,0.0,38.0,121.0,38.2,224.7,131.0,24.99,294.0,6.0,2.65,9.8,61.0,13.05,290.0,1,0,2,0,818.5,319.0,78.89,2.5658307210031346,1
97.0,4.0,0.0,95.0,22.54,125.8,103.0,14.43,159.8,3.0,3.21,11.9,61.0,8.73,199.1,0,0,2,1,496.6,262.0,48.910000000000004,1.8954198473282444,0
152.0,1.0,0.0,53.0,52.03,323.8,100.0,14.0,155.9,8.0,2.81,10.4,61.0,5.55,111.4,0,0,1,1,601.5,222.0,74.39,2.7094594594594597,0
80.0,1.0,0.0,100.0,21.13,124.3,107.0,14.71,173.0,9.0,2.13,7.9,62.0,11.39,253.2,0,0,1,0,558.4,278.0,49.36000000000001,2.0086330935251797,0
148.0,2.0,0.0,138.0,25.19,148.2,123.0,13.57,159.6,3.0,2.32,8.6,62.0,8.88,197.4,0,1,2,0,513.8,326.0,49.96000000000001,1.5760736196319016,1
106.0,1.0,0.0,120.0,46.65,274.4,82.0,16.88,198.6,3.0,1.62,6.0,62.0,7.24,160.8,0,0,2,0,639.8,267.0,72.39,2.3962546816479398,0
44.0,0.0,34.0,105.0,37.71,221.8,85.0,13.74,161.7,3.6666666666666665,3.78,14.0,62.0,10.25,227.7,1,0,1,0,625.2,255.66666666666666,65.48,2.4453715775749676,1
160.0,3.0,0.0,113.0,16.58,97.5,69.0,22.79,268.1,4.0,3.56,13.2,62.0,11.49,255.3,0,0,1,0,634.1000000000001,248.0,54.42,2.556854838709678,0
124.0,2.0,0.0,101.0,25.55,150.3,112.0,21.75,255.9,4.0,3.38,12.5,62.0,6.15,136.7,0,0,1,0,555.4000000000001,279.0,56.83,1.9906810035842297,0
148.0,1.0,0.0,111.0,37.18,218.7,133.0,13.23,155.6,5.0,2.21,8.2,62.0,12.48,277.4,0,1,1,0,659.9,311.0,65.1,2.121864951768489,1
60.0,2.0,31.0,75.0,32.61,191.8,135.0,22.76,267.8,3.0,3.46,12.8,62.0,9.02,200.5,1,0,2,0,672.9,275.0,67.85,2.4469090909090907,1
50.0,2.0,0.0,108.0,16.93,99.6,102.0,26.24,308.7,6.0,3.7,13.7,62.0,7.25,161.2,0,1,1,1,583.2,278.0,54.120000000000005,2.097841726618705,1
167.0,4.0,0.0,130.0,30.76,158.2,111.0,14.73,162.3,3.0,3.35,12.4,62.0,9.74,219.5,0,0,1,1,552.4,306.0,58.580000000000005,1.8052287581699347,0
173.0,0.0,0.0,78.0,29.33,172.5,91.0,12.12,142.6,2.0,2.94,10.9,63.0,4.59,102.0,0,0,2,0,428.0,234.0,48.97999999999999,1.829059829059829,0
139.0,1.0,0.0,103.0,23.48,138.1,100.0,13.98,164.5,2.0,2.24,8.3,63.0,6.07,134.9,0,0,1,0,445.8,268.0,45.77,1.6634328358208956,0
118.0,3.0,36.0,106.0,50.13,294.9,115.0,14.08,165.7,5.0,2.65,9.8,63.0,8.51,189.2,1,0,1,0,659.5999999999999,289.0,75.37000000000002,2.2823529411764705,1
93.0,3.0,0.0,120.0,45.22,266.0,84.0,11.06,130.1,6.0,3.54,13.1,63.0,7.46,165.8,0,0,1,0,575.0000000000001,273.0,67.28,2.1062271062271067,0
104.0,0.0,0.0,77.0,22.19,130.5,117.0,11.15,131.2,6.0,3.51,13.0,63.0,11.91,264.7,0,0,1,0,539.4,263.0,48.76,2.0509505703422053,0
91.0,0.0,0.0,128.0,32.39,190.5,103.0,17.47,205.5,5.0,3.73,13.8,63.0,5.88,130.7,0,0,1,0,540.5,299.0,59.47,1.8076923076923077,0
127.0,2.0,19.0,115.0,22.05,129.7,101.0,13.67,160.8,3.0,3.29,12.2,63.0,11.93,265.0,1,0,2,0,567.7,282.0,50.94,2.0131205673758865,1
75.0,4.0,0.0,61.0,35.92,211.3,119.0,8.98,105.6,4.0,2.62,9.7,63.0,7.92,175.9,0,1,0,1,502.49999999999994,247.0,55.440000000000005,2.0344129554655868,1
97.0,4.0,0.0,96.0,20.54,120.8,101.0,14.43,169.8,3.0,3.21,11.9,63.0,8.73,194.1,0,0,2,1,496.6,263.0,46.910000000000004,1.8882129277566542,0
152.0,1.0,0.0,60.0,54.03,317.8,100.0,13.0,152.9,7.0,2.81,10.4,63.0,5.55,123.4,0,0,1,1,604.5,230.0,75.39,2.628260869565217,0
80.0,2.0,0.0,67.0,21.73,127.8,112.0,15.44,181.6,2.0,4.29,15.9,63.0,8.88,197.3,0,0,1,0,522.6,244.0,50.34,2.1418032786885246,0
138.0,0.0,0.0,96.0,35.0,205.9,94.0,21.85,257.1,8.0,3.27,12.1,63.0,9.4,209.0,0,0,2,0,684.1,261.0,69.52,2.621072796934866,0
107.0,2.0,27.0,104.0,48.18,283.4,152.0,19.05,224.1,7.0,3.89,14.4,63.0,10.86,241.3,1,0,2,0,763.1999999999999,326.0,81.98,2.3411042944785274,1
129.0,4.0,0.0,127.0,31.62,186.0,96.0,22.3,262.3,6.0,3.11,11.5,63.0,4.45,98.9,0,0,0,0,558.7,292.0,61.480000000000004,1.9133561643835617,0
77.0,5.0,0.0,82.0,12.61,62.4,123.0,15.44,155.9,6.0,1.54,5.7,63.0,9.43,217.6,0,0,0,1,441.59999999999997,274.0,39.019999999999996,1.6116788321167883,0
177.0,3.0,0.0,86.0,47.24,271.1,84.0,18.14,234.2,7.0,2.4,8.9,63.0,10.11,233.7,0,0,1,1,747.9,240.0,77.89,3.11625,0
77.0,5.0,0.0,89.0,10.61,62.4,121.0,14.44,169.9,6.0,1.54,5.7,64.0,9.43,209.6,0,0,0,1,447.59999999999997,280.0,36.019999999999996,1.5985714285714285,0
119.0,0.0,0.0,100.0,50.01,294.2,53.0,19.76,232.5,1.0,2.43,9.0,64.0,8.78,195.0,0,0,0,1,730.7,218.0,80.98,3.351834862385321,0
171.0,1.0,17.0,94.0,31.77,186.9,138.0,20.4,240.0,3.0,1.57,5.8,64.0,9.04,200.9,1,0,2,0,633.5999999999999,299.0,62.78,2.1190635451505013,1
97.0,1.0,28.0,97.0,34.39,202.3,84.0,5.88,69.2,3.0,1.81,6.7,64.0,11.59,257.6,1,0,1,0,535.8000000000001,248.0,53.67,2.160483870967742,1
139.0,4.0,0.0,119.0,30.87,181.6,118.0,28.53,335.7,6.0,2.24,8.3,64.0,6.74,149.8,0,0,1,0,675.3999999999999,307.0,68.38,2.1999999999999997,0
137.0,3.0,0.0,79.0,18.79,110.5,111.0,18.97,223.2,3.0,2.84,10.5,64.0,7.63,169.5,0,0,2,0,513.7,257.0,48.230000000000004,1.998832684824903,0
205.0,2.0,24.0,139.0,29.89,175.8,98.0,13.18,155.0,5.0,2.11,7.8,64.0,8.13,180.7,1,0,2,0,519.3,306.0,53.31,1.6970588235294115,1
40.0,6.0,0.0,123.0,13.89,81.7,108.0,17.87,210.2,3.0,3.05,11.3,64.0,9.54,212.0,0,0,2,1,515.1999999999999,298.0,44.349999999999994,1.7288590604026843,0
110.0,3.0,0.0,127.0,31.96,188.0,118.0,7.69,90.5,3.0,4.13,15.3,64.0,6.76,150.3,0,0,2,0,444.1,312.0,50.54,1.423397435897436,0
116.0,3.0,0.0,126.0,23.36,137.4,94.0,10.2,120.0,2.0,3.35,12.4,64.0,5.86,130.3,0,0,2,0,400.09999999999997,286.0,42.77,1.3989510489510488,0
130.0,0.0,0.0,101.0,42.84,252.0,105.0,14.47,170.2,5.0,1.54,5.7,64.0,9.41,209.2,0,0,0,0,637.1,275.0,68.26,2.316727272727273,0
16.0,0.0,0.0,69.0,34.95,205.6,93.0,14.41,169.5,3.0,2.94,10.9,64.0,9.9,220.1,0,0,2,0,606.1,229.0,62.199999999999996,2.6467248908296943,0
167.0,4.0,0.0,124.0,28.76,169.2,108.0,14.73,173.3,4.0,3.35,12.4,64.0,9.74,216.5,0,0,1,1,571.4,300.0,56.580000000000005,1.9046666666666665,0
32.0,1.0,0.0,82.0,29.1,171.2,102.0,15.78,185.6,7.0,2.75,10.2,64.0,9.409999999999998,203.3,0,0,0,0,570.3,255.0,57.04,2.236470588235294,0
53.0,1.0,27.0,119.0,4.4,66.10000000000001,96.0,17.55,206.5,7.0,1.76,6.5,64.0,10.26,228.1,1,0,1,0,507.20000000000005,286.0,33.97,1.7734265734265735,1
40.0,6.0,0.0,130.0,15.89,74.7,104.0,16.87,218.2,2.0,3.05,11.3,64.0,9.54,217.0,0,0,2,1,521.1999999999999,300.0,45.35,1.7373333333333332,0
95.0,2.0,0.0,116.0,43.73,263.0,121.0,20.86,247.7,3.0,1.97,7.3,64.0,8.07,178.3,0,0,1,1,696.3,304.0,74.63,2.290460526315789,0
125.0,2.0,0.0,114.0,19.21,112.0,112.0,14.38,179.2,6.0,2.48,9.2,64.0,7.05,165.6,0,0,0,1,465.99999999999994,296.0,43.12,1.5743243243243241,0
115.0,3.0,0.0,115.0,45.56,268.0,106.0,13.06,153.6,1.0,4.59,17.0,65.0,10.45,232.3,0,0,0,0,670.9000000000001,287.0,73.66000000000001,2.3376306620209064,0
108.0,1.0,0.0,78.0,36.65,215.6,119.0,16.6,195.3,5.0,0.97,3.6,65.0,8.75,194.4,0,0,1,0,608.9,267.0,62.97,2.2805243445692884,0
105.0,3.0,0.0,106.0,25.5,150.0,123.0,24.97,293.8,7.0,2.78,10.3,65.0,11.28,250.7,0,1,1,0,704.8,301.0,64.53,2.3415282392026575,1
106.0,0.0,0.0,94.0,27.13,159.6,118.0,23.53,276.8,3.0,2.38,8.8,65.0,10.06,223.5,0,0,2,0,668.6999999999999,280.0,63.1,2.3882142857142856,0
31.0,1.0,0.0,84.0,28.12,165.4,107.0,17.31,203.7,1.0,2.21,8.2,65.0,9.08,201.7,0,0,2,0,579.0,257.0,56.72,2.252918287937743,0
70.0,3.0,0.0,105.0,25.01,147.1,135.0,17.0,200.0,9.0,3.38,12.5,65.0,10.57,234.9,0,0,2,0,594.5,314.0,55.96000000000001,1.893312101910828,0
83.0,3.0,0.0,102.0,30.4,178.8,84.0,14.27,167.9,4.0,2.32,8.6,65.0,8.05,178.9,0,0,1,0,534.2,255.0,55.04,2.094901960784314,0
162.0,2.0,0.0,87.0,36.99,217.6,71.0,23.72,279.0,4.0,2.81,10.4,65.0,11.28,250.7,0,0,0,1,757.6999999999999,227.0,74.8,3.337885462555066,0
64.0,1.0,0.0,126.0,37.33,219.6,100.0,25.78,303.3,5.0,2.62,9.7,65.0,6.95,154.5,0,0,0,0,687.1,296.0,72.68,2.321283783783784,0
172.0,4.0,0.0,109.0,34.66,203.9,123.0,19.89,234.0,4.0,4.81,17.8,65.0,7.23,160.7,0,0,0,0,616.3999999999999,301.0,66.59,2.0478405315614614,0
88.0,3.0,0.0,115.0,36.65,215.6,85.0,18.38,216.2,1.0,3.19,11.8,65.0,7.71,171.3,0,0,1,0,614.8999999999999,266.0,65.93,2.3116541353383453,0
104.0,2.0,0.0,92.0,34.03,200.2,87.0,10.09,118.7,6.0,1.62,6.0,65.0,10.65,236.6,0,0,0,0,561.5,250.0,56.39,2.246,0
